trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.005,db,0.050666395,0,0.0012316,103.3545605,104.3714604,104.3714604,104.3544919,104.6870523,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.005,db,0.050695569,0,0.000729,105.7627118,106.7814426,106.7814426,106.7645673,107.0806427,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.005,db,0.050695569,1,0.0014121,108.2254022,109.2413034,109.2413034,109.2246387,109.5568883,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.05072476,0,0.000589,110.7019078,111.7178477,111.7178477,111.701133,112.0168285,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.05072476,1,0.0008788,113.1115467,114.1278881,114.1278881,114.1111703,114.4273111,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.05072476,1,0.0002845,115.5350399,116.5545408,116.5545408,116.5377251,116.8538341,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.050753968,0,0.0008667,117.91427,118.9316171,118.9316171,118.9150381,119.2469656,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.050753968,1,0.0003477,120.3387104,121.3584303,121.3584303,121.3415469,121.6739521,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.050753968,1,0.0005796,122.7665903,123.7852348,123.7852348,123.7683957,124.1006909,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,down,0.005,db,0.05072476,1,0.0012066,125.2822526,126.2949137,126.2949137,126.2949137,126.6105033,0,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.050753968,0,0.0006468,127.6694163,128.6883242,128.6883242,128.671583,128.9874789,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.050753968,1,0.0012019,130.0646193,131.0834196,131.0834196,131.0651005,131.3976192,1,26433,1,2022-09-09_18h56.15.929,T1_2,2022.2.2,60.22645144
